DIVISAO,GRUPO,CLASSE,SUBCLASSE,FULL,ADA_002_DIVISAO,ADA_002_GRUPO,ADA_002_CLASSE,ADA_002_SUBCLASSE,ADA_002_FULL,3_SMALL_DIVISAO,3_SMALL_GRUPO,3_SMALL_CLASSE,3_SMALL_SUBCLASSE,3_SMALL_FULL
1,1.1,01.11-3,0111-3/01,0111-3/01,3.0,10.0,58.0,0.0,34.0,12.0,11.0,3.0,13.0,6.0
1,1.1,01.11-3,0111-3/02,0111-3/02,3.0,10.0,58.0,0.0,34.0,12.0,11.0,3.0,13.0,6.0
1,1.1,01.11-3,0111-3/03,0111-3/03,3.0,10.0,58.0,0.0,34.0,12.0,11.0,3.0,13.0,6.0
1,1.1,01.11-3,0111-3/99,0111-3/99,3.0,10.0,58.0,8.0,34.0,12.0,11.0,3.0,1.0,6.0
1,1.1,01.12-1,0112-1/01,0112-1/01,3.0,10.0,,0.0,35.0,12.0,11.0,7.0,13.0,6.0
1,1.1,01.12-1,0112-1/02,0112-1/02,3.0,10.0,,0.0,24.0,12.0,11.0,7.0,98.0,6.0
1,1.1,01.12-1,0112-1/99,0112-1/99,3.0,10.0,,8.0,35.0,12.0,11.0,7.0,1.0,6.0
1,1.1,01.13-0,0113-0/00,0113-0/00,3.0,10.0,59.0,0.0,6.0,12.0,11.0,3.0,86.0,30.0
1,1.1,01.14-8,0114-8/00,0114-8/00,3.0,10.0,,0.0,6.0,12.0,11.0,3.0,99.0,6.0
1,1.1,01.15-6,0115-6/00,0115-6/00,3.0,10.0,,0.0,34.0,12.0,11.0,3.0,13.0,6.0
1,1.1,01.16-4,0116-4/01,0116-4/01,3.0,10.0,22.0,0.0,7.0,12.0,11.0,7.0,13.0,6.0
1,1.1,01.16-4,0116-4/02,0116-4/02,3.0,10.0,22.0,0.0,24.0,12.0,11.0,7.0,13.0,6.0
1,1.1,01.16-4,0116-4/03,0116-4/03,3.0,10.0,22.0,0.0,,12.0,11.0,7.0,35.0,
1,1.1,01.16-4,0116-4/99,0116-4/99,3.0,10.0,22.0,,,12.0,11.0,7.0,1.0,6.0
1,1.1,01.19-9,0119-9/01,0119-9/01,3.0,10.0,22.0,0.0,16.0,12.0,11.0,7.0,65.0,30.0
1,1.1,01.19-9,0119-9/02,0119-9/02,3.0,10.0,22.0,0.0,16.0,12.0,11.0,7.0,13.0,6.0
1,1.1,01.19-9,0119-9/03,0119-9/03,3.0,10.0,22.0,0.0,13.0,12.0,11.0,7.0,35.0,6.0
1,1.1,01.19-9,0119-9/04,0119-9/04,3.0,10.0,22.0,0.0,16.0,12.0,11.0,7.0,13.0,6.0
1,1.1,01.19-9,0119-9/05,0119-9/05,3.0,10.0,22.0,0.0,34.0,12.0,11.0,7.0,13.0,6.0
1,1.1,01.19-9,0119-9/06,0119-9/06,3.0,10.0,22.0,0.0,7.0,12.0,11.0,7.0,35.0,6.0
1,1.1,01.19-9,0119-9/07,0119-9/07,3.0,10.0,22.0,0.0,7.0,12.0,11.0,7.0,52.0,7.0
1,1.1,01.19-9,0119-9/08,0119-9/08,3.0,10.0,22.0,0.0,7.0,12.0,11.0,7.0,52.0,7.0
1,1.1,01.19-9,0119-9/09,0119-9/09,3.0,10.0,22.0,0.0,13.0,12.0,11.0,7.0,52.0,6.0
1,1.1,01.19-9,0119-9/99,0119-9/99,3.0,10.0,22.0,8.0,,12.0,11.0,7.0,1.0,6.0
1,1.2,01.21-1,0121-1/01,0121-1/01,3.0,10.0,58.0,0.0,,12.0,,8.0,,14.0
1,1.2,01.21-1,0121-1/02,0121-1/02,3.0,10.0,58.0,0.0,46.0,12.0,,8.0,52.0,14.0
1,1.2,01.22-9,0122-9/00,0122-9/00,3.0,10.0,25.0,0.0,,12.0,,7.0,,
1,1.3,01.31-8,0131-8/00,0131-8/00,3.0,10.0,,0.0,,12.0,11.0,3.0,52.0,55.0
1,1.3,01.32-6,0132-6/00,0132-6/00,3.0,10.0,,0.0,47.0,12.0,11.0,3.0,99.0,
1,1.3,01.33-4,0133-4/01,0133-4/01,3.0,10.0,25.0,0.0,46.0,12.0,11.0,,40.0,24.0
1,1.3,01.33-4,0133-4/02,0133-4/02,3.0,10.0,25.0,0.0,46.0,12.0,11.0,,35.0,
1,1.3,01.33-4,0133-4/03,0133-4/03,3.0,10.0,25.0,0.0,33.0,12.0,11.0,,98.0,31.0
1,1.3,01.33-4,0133-4/04,0133-4/04,3.0,10.0,25.0,0.0,46.0,12.0,11.0,,53.0,56.0
1,1.3,01.33-4,0133-4/05,0133-4/05,3.0,10.0,25.0,0.0,,12.0,11.0,,65.0,56.0
1,1.3,01.33-4,0133-4/06,0133-4/06,3.0,10.0,25.0,0.0,33.0,12.0,11.0,,40.0,24.0
1,1.3,01.33-4,0133-4/07,0133-4/07,3.0,10.0,25.0,0.0,46.0,12.0,11.0,,52.0,40.0
1,1.3,01.33-4,0133-4/08,0133-4/08,3.0,10.0,25.0,0.0,,12.0,11.0,,52.0,40.0
1,1.3,01.33-4,0133-4/09,0133-4/09,3.0,10.0,25.0,0.0,46.0,12.0,11.0,,52.0,
1,1.3,01.33-4,0133-4/10,0133-4/10,3.0,10.0,25.0,0.0,46.0,12.0,11.0,,52.0,55.0
1,1.3,01.33-4,0133-4/11,0133-4/11,3.0,10.0,25.0,0.0,47.0,12.0,11.0,,52.0,55.0
1,1.3,01.33-4,0133-4/99,0133-4/99,3.0,10.0,25.0,8.0,,12.0,11.0,,1.0,31.0
1,1.3,01.34-2,0134-2/00,0134-2/00,3.0,10.0,59.0,0.0,6.0,12.0,11.0,3.0,,39.0
1,1.3,01.35-1,0135-1/00,0135-1/00,3.0,10.0,59.0,0.0,,12.0,11.0,3.0,99.0,39.0
1,1.3,01.39-3,0139-3/01,0139-3/01,3.0,10.0,22.0,0.0,6.0,12.0,11.0,8.0,36.0,43.0
1,1.3,01.39-3,0139-3/02,0139-3/02,3.0,10.0,22.0,0.0,6.0,12.0,11.0,8.0,36.0,43.0
1,1.3,01.39-3,0139-3/03,0139-3/03,3.0,10.0,22.0,0.0,6.0,12.0,11.0,8.0,,42.0
