NIVEL_CLUSTER,CNAE,CNAE_ESPELHO,SCORE
0,111301,111301,1.0
1,111301,111301,1.0
2,111301,111301,1.0
2,111301,111303,0.7973108157674599
2,111301,111399,0.7832934700567016
2,111301,111302,0.7787738218307441
0,111302,111302,1.0
1,111302,111302,1.0
2,111302,111302,1.0
1,111302,111303,0.8041332612071851
2,111302,111303,0.8041332612071851
2,111302,111399,0.78368034403344
2,111302,111301,0.7787738218307441
0,111303,111303,1.0
1,111303,111303,1.0
2,111303,111303,1.0
1,111303,111399,0.8100456004598424
2,111303,111399,0.8100456004598424
1,111303,111302,0.8041332612071851
2,111303,111302,0.8041332612071851
2,111303,111301,0.7973108157674599
0,111399,111399,1.0
1,111399,111399,1.0
2,111399,111399,1.0
1,111399,119999,0.8187743222012022
2,111399,119999,0.8187743222012022
1,111399,111303,0.8100456004598424
2,111399,111303,0.8100456004598424
2,111399,139399,0.7925603804691267
2,111399,119905,0.7890113722629376
2,111399,111302,0.78368034403344
2,111399,111301,0.7832934700567016
2,111399,119906,0.7810832558521104
2,111399,116499,0.7786049271791519
2,111399,112199,0.7781523598800811
0,112101,112101,1.0
1,112101,112101,1.0
2,112101,112101,1.0
1,112101,112199,0.8543512512706646
2,112101,112199,0.8543512512706646
1,112101,112102,0.8416055171000855
2,112101,112102,0.8416055171000855
0,112102,112102,1.0
1,112102,112102,1.0
2,112102,112102,1.0
1,112102,112101,0.8416055171000855
2,112102,112101,0.8416055171000855
1,112102,112199,0.8145910784500306
2,112102,112199,0.8145910784500306
0,112199,112199,1.0
1,112199,112199,1.0
2,112199,112199,1.0
1,112199,112101,0.8543512512706646
2,112199,112101,0.8543512512706646
1,112199,112102,0.8145910784500306
2,112199,112102,0.8145910784500306
2,112199,119999,0.7832785682567879
2,112199,111399,0.7781523598800811
2,112199,116499,0.7704494991077975
0,113000,113000,1.0
1,113000,113000,1.0
2,113000,113000,1.0
0,114800,114800,1.0
1,114800,114800,1.0
2,114800,114800,1.0
0,115600,115600,1.0
1,115600,115600,1.0
2,115600,115600,1.0
2,115600,119905,0.7850112103727181
2,115600,116402,0.7751073886897091
0,116401,116401,1.0
1,116401,116401,1.0
2,116401,116401,1.0
2,116401,116499,0.787113708179972
0,116402,116402,1.0
1,116402,116402,1.0
2,116402,116402,1.0
2,116402,116499,0.7818250255256366
2,116402,115600,0.7751073886897091
0,116403,116403,1.0
1,116403,116403,1.0
2,116403,116403,1.0
2,116403,133408,0.7776951356483506
0,116499,116499,1.0
1,116499,116499,1.0
2,116499,116499,1.0
2,116499,119999,0.7974584320891099
2,116499,116401,0.787113708179972
2,116499,116402,0.7818250255256366
2,116499,111399,0.7786049271791519
2,116499,112199,0.7704494991077975
0,119901,119901,1.0
1,119901,119901,1.0
2,119901,119901,1.0
2,119901,119908,0.7881530026230087
2,119901,119906,0.7871567708022714
2,119901,119999,0.7790237044564214
2,119901,119907,0.775129195951049
2,119901,119905,0.770354298816668
0,119902,119902,1.0
1,119902,119902,1.0
2,119902,119902,1.0
2,119902,119904,0.7981363265968398
2,119902,119999,0.7912050486550162
2,119902,119905,0.7801842734867658
0,119903,119903,1.0
1,119903,119903,1.0
2,119903,119903,1.0
2,119903,119904,0.7942969710131027
2,119903,119999,0.7933731370524768
2,119903,119906,0.7836892583895585
2,119903,119905,0.779384184935314
2,119903,119909,0.7775604286512222
0,119904,119904,1.0
1,119904,119904,1.0
2,119904,119904,1.0
2,119904,119902,0.7981363265968398
2,119904,119903,0.7942969710131027
2,119904,119999,0.7904503411068992
2,119904,119905,0.7896963665620298
0,119905,119905,1.0
1,119905,119905,1.0
2,119905,119905,1.0
1,119905,119999,0.8148309234423069
2,119905,119999,0.8148309234423069
2,119905,119904,0.7896963665620298
2,119905,111399,0.7890113722629376
2,119905,119906,0.786962376295631
2,119905,115600,0.7850112103727181
2,119905,119902,0.7801842734867658
2,119905,139399,0.779493086773585
2,119905,119903,0.779384184935314
2,119905,119901,0.770354298816668
0,119906,119906,1.0
1,119906,119906,1.0
2,119906,119906,1.0
2,119906,119908,0.7941128640151753
2,119906,119901,0.7871567708022714
2,119906,119905,0.786962376295631
2,119906,119999,0.785192222027249
2,119906,119903,0.7836892583895585
2,119906,111399,0.7810832558521104
2,119906,119907,0.7766366810501506
0,119907,119907,1.0
1,119907,119907,1.0
2,119907,119907,1.0
1,119907,119908,0.8784616941955643
2,119907,119908,0.8784616941955643
2,119907,119999,0.777973084199291
2,119907,119906,0.7766366810501506
2,119907,119901,0.775129195951049
0,119908,119908,1.0
1,119908,119908,1.0
2,119908,119908,1.0
1,119908,119907,0.8784616941955643
2,119908,119907,0.8784616941955643
2,119908,119906,0.7941128640151753
2,119908,119901,0.7881530026230087
2,119908,119999,0.7803187592843746
0,119909,119909,1.0
1,119909,119909,1.0
2,119909,119909,1.0
2,119909,119903,0.7775604286512222
2,119909,119999,0.776049135897362
0,119999,119999,1.0
1,119999,119999,1.0
2,119999,119999,1.0
1,119999,139399,0.8280813961878306
2,119999,139399,0.8280813961878306
1,119999,111399,0.8187743222012022
2,119999,111399,0.8187743222012022
1,119999,119905,0.8148309234423069
2,119999,119905,0.8148309234423069
2,119999,116499,0.7974584320891099
2,119999,119903,0.7933731370524768
2,119999,119902,0.7912050486550162
2,119999,119904,0.7904503411068992
2,119999,119906,0.785192222027249
2,119999,112199,0.7832785682567879
2,119999,119908,0.7803187592843746
2,119999,119901,0.7790237044564214
2,119999,119907,0.777973084199291
2,119999,119909,0.776049135897362
2,119999,139304,0.7702432809008553
0,121101,121101,1.0
1,121101,121101,1.0
2,121101,121101,1.0
1,121101,121102,0.8027393844967814
2,121101,121102,0.8027393844967814
0,121102,121102,1.0
